#Supernova light curve model based on Arnett & Fu ApJ 340, 396 (1989)
#
#Inital model parameters
#R0 = 2.89e+12 cm
#Mej = 17.1 M_sol
#MNi = 0.069 M_sol
#Eth = 1e+50 erg
#Ekin = 1.4e+51 erg
#Trec = 5500 K
#kappa = 0.3 cm^2/g
#a = 0 
#s = 0 
#Ep = 0 erg
#tp= 0 d
#Ag = 300000 d^2
#
#Calaculated physical properties 
#v = 3704.14 km/s
#rho0 = 0.000336394 g/cm^3
#td = 99175 d
#th = 0.0903018 d
#t0 = 133.833 d
#
#t/day    Lsn    logLsn     Ldiff      Lrec 	  xi 
0.000000 1.40659e+40 40.1482 1.16704e+40 2.39554e+39 1 
0.115741 1.24791e+40 40.0962 1.16806e+40 7.98509e+38 0.999995 
0.231481 1.2497e+40 40.0968 1.16985e+40 7.98506e+38 0.99999 
0.347222 1.25225e+40 40.0977 1.1724e+40 7.98503e+38 0.999985 
0.462963 1.25553e+40 40.0988 1.17568e+40 7.98499e+38 0.99998 
0.578704 1.25955e+40 40.1002 1.1797e+40 7.98497e+38 0.999975 
0.694444 1.26427e+40 40.1018 1.18442e+40 7.98494e+38 0.99997 
0.810185 1.26968e+40 40.1037 1.18983e+40 7.98491e+38 0.999965 
0.925926 1.27577e+40 40.1058 1.19592e+40 7.98487e+38 0.99996 
1.041667 1.28252e+40 40.1081 1.20267e+40 7.98484e+38 0.999955 
1.157407 1.28992e+40 40.1106 1.21007e+40 7.98482e+38 0.99995 
1.273148 1.29795e+40 40.1133 1.21811e+40 7.98479e+38 0.999945 
1.388889 1.30661e+40 40.1161 1.22676e+40 7.98475e+38 0.99994 
1.504630 1.31587e+40 40.1192 1.23602e+40 7.98473e+38 0.999935 
1.620370 1.32572e+40 40.1225 1.24587e+40 7.9847e+38 0.99993 
1.736111 1.33614e+40 40.1259 1.2563e+40 7.98467e+38 0.999925 
1.851852 1.34714e+40 40.1294 1.26729e+40 7.98464e+38 0.99992 
1.967593 1.35869e+40 40.1331 1.27884e+40 7.9846e+38 0.999915 
2.083333 1.37078e+40 40.137 1.29093e+40 7.98457e+38 0.99991 
2.199074 1.38339e+40 40.1409 1.30355e+40 7.98454e+38 0.999905 
2.314815 1.39653e+40 40.145 1.31668e+40 7.98451e+38 0.9999 
2.430556 1.41016e+40 40.1493 1.33032e+40 7.98448e+38 0.999895 
2.546296 1.4243e+40 40.1536 1.34445e+40 7.98445e+38 0.99989 
2.662037 1.43891e+40 40.158 1.35906e+40 7.98442e+38 0.999885 
2.777778 1.45399e+40 40.1626 1.37415e+40 7.98439e+38 0.99988 
2.893519 1.46953e+40 40.1672 1.38969e+40 7.98436e+38 0.999875 
3.009259 1.48553e+40 40.1719 1.40568e+40 7.98433e+38 0.99987 
3.125000 1.50196e+40 40.1767 1.42212e+40 7.9843e+38 0.999865 
3.240741 1.51882e+40 40.1815 1.43898e+40 7.98427e+38 0.99986 
3.356481 1.5361e+40 40.1864 1.45625e+40 7.98424e+38 0.999855 
3.472222 1.55378e+40 40.1914 1.47394e+40 7.98421e+38 0.99985 
3.587963 1.57187e+40 40.1964 1.49203e+40 7.98417e+38 0.999845 
3.703704 1.59035e+40 40.2015 1.5105e+40 7.98415e+38 0.99984 
3.819444 1.6092e+40 40.2066 1.52936e+40 7.98412e+38 0.999835 
3.935185 1.62843e+40 40.2118 1.54859e+40 7.98409e+38 0.99983 
4.050926 1.64802e+40 40.217 1.56818e+40 7.98406e+38 0.999825 
4.166667 1.66796e+40 40.2222 1.58812e+40 7.98403e+38 0.99982 
4.282407 1.68825e+40 40.2274 1.60841e+40 7.984e+38 0.999815 
4.398148 1.70888e+40 40.2327 1.62904e+40 7.98397e+38 0.99981 
4.513889 1.72984e+40 40.238 1.65e+40 7.98394e+38 0.999805 
4.629630 1.75111e+40 40.2433 1.67127e+40 7.9839e+38 0.9998 
4.745370 1.7727e+40 40.2486 1.69286e+40 7.98387e+38 0.999795 
4.861111 1.7946e+40 40.254 1.71476e+40 7.98384e+38 0.99979 
4.976852 1.81679e+40 40.2593 1.73695e+40 7.98382e+38 0.999785 
5.092593 1.83927e+40 40.2646 1.75944e+40 7.98379e+38 0.99978 
5.208333 1.86204e+40 40.27 1.7822e+40 7.98375e+38 0.999775 
5.324074 1.88508e+40 40.2753 1.80525e+40 7.98372e+38 0.99977 
5.439815 1.9084e+40 40.2807 1.82856e+40 7.9837e+38 0.999765 
5.555556 1.93197e+40 40.286 1.85214e+40 7.98367e+38 0.99976 
5.671296 1.95581e+40 40.2913 1.87597e+40 7.98363e+38 0.999755 
5.787037 1.97989e+40 40.2966 1.90005e+40 7.9836e+38 0.99975 
5.902778 2.00421e+40 40.3019 1.92438e+40 7.98357e+38 0.999745 
6.018519 2.02878e+40 40.3072 1.94894e+40 7.98354e+38 0.99974 
6.134259 2.05357e+40 40.3125 1.97374e+40 7.98351e+38 0.999735 
6.250000 2.07859e+40 40.3178 1.99876e+40 7.98348e+38 0.99973 
6.365741 2.10383e+40 40.323 2.02399e+40 7.98345e+38 0.999725 
6.481481 2.12928e+40 40.3282 2.04945e+40 7.98342e+38 0.99972 
6.597222 2.15494e+40 40.3334 2.07511e+40 7.98339e+38 0.999715 
6.712963 2.18081e+40 40.3386 2.10097e+40 7.98336e+38 0.99971 
6.828704 2.20687e+40 40.3438 2.12703e+40 7.98333e+38 0.999705 
6.944444 2.23312e+40 40.3489 2.15329e+40 7.9833e+38 0.9997 
7.060185 2.25956e+40 40.354 2.17973e+40 7.98327e+38 0.999695 
7.175926 2.28618e+40 40.3591 2.20635e+40 7.98324e+38 0.99969 
7.291667 2.31298e+40 40.3642 2.23315e+40 7.9832e+38 0.999685 
7.407407 2.33996e+40 40.3692 2.26013e+40 7.98318e+38 0.99968 
7.523148 2.3671e+40 40.3742 2.28727e+40 7.98315e+38 0.999675 
7.638889 2.3944e+40 40.3792 2.31457e+40 7.98311e+38 0.99967 
7.754630 2.42187e+40 40.3842 2.34204e+40 7.98308e+38 0.999665 
7.870370 2.44949e+40 40.3891 2.36966e+40 7.98305e+38 0.99966 
7.986111 2.47725e+40 40.394 2.39742e+40 7.98302e+38 0.999655 
8.101852 2.50517e+40 40.3988 2.42534e+40 7.98299e+38 0.99965 
8.217593 2.53323e+40 40.4037 2.4534e+40 7.98296e+38 0.999645 
8.333333 2.56142e+40 40.4085 2.48159e+40 7.98293e+38 0.99964 
8.449074 2.58975e+40 40.4133 2.50992e+40 7.9829e+38 0.999635 
8.564815 2.61821e+40 40.418 2.53839e+40 7.98287e+38 0.99963 
8.680556 2.6468e+40 40.4227 2.56697e+40 7.98284e+38 0.999625 
8.796296 2.67551e+40 40.4274 2.59569e+40 7.98282e+38 0.99962 
8.912037 2.70435e+40 40.4321 2.62452e+40 7.98278e+38 0.999615 
9.027778 2.73329e+40 40.4367 2.65347e+40 7.98275e+38 0.99961 
9.143519 2.76235e+40 40.4413 2.68253e+40 7.98272e+38 0.999605 
9.259259 2.79152e+40 40.4458 2.7117e+40 7.98269e+38 0.9996 
