#Supernova light curve model based on Arnett & Fu ApJ 340, 396 (1989)
#
#Inital model parameters
#R0 = 9.5e+12 cm
#Mej = 0.075 M_sol
#MNi = 0 M_sol
#Eth = 1.2e+49 erg
#Ekin = 4e+50 erg
#Trec = 0 K
#kappa = 0.34 cm^2/g
#a = 0 
#s = 2 
#Ep = 0 erg
#tp= 0 d
#Ag = 1e+10 d^2
#
#Calaculated physical properties 
#v = 34796.8 km/s
#rho0 = 1.18003e-07 g/cm^3
#td = 426.046 d
#th = 0.0315988 d
#t0 = 5.18894 d
#
#t/day    Lsn    logLsn     Ldiff      Lrec 	  xi 
0.000000 3.25995e+41 41.5132 3.25995e+41 -0 1 
0.115741 3.25744e+41 41.5129 3.25744e+41 -0 1 
0.231481 3.2517e+41 41.5121 3.2517e+41 -0 1 
0.347222 3.24274e+41 41.5109 3.24274e+41 -0 1 
0.462963 3.23059e+41 41.5093 3.23059e+41 -0 1 
0.578704 3.21528e+41 41.5072 3.21528e+41 -0 1 
0.694444 3.19687e+41 41.5047 3.19687e+41 -0 1 
0.810185 3.17539e+41 41.5018 3.17539e+41 -0 1 
0.925926 3.15093e+41 41.4984 3.15093e+41 -0 1 
1.041667 3.12354e+41 41.4946 3.12354e+41 -0 1 
1.157407 3.09331e+41 41.4904 3.09331e+41 -0 1 
1.273148 3.06033e+41 41.4858 3.06033e+41 -0 1 
1.388889 3.02469e+41 41.4807 3.02469e+41 -0 1 
1.504630 2.98649e+41 41.4752 2.98649e+41 -0 1 
1.620370 2.94584e+41 41.4692 2.94584e+41 -0 1 
1.736111 2.90285e+41 41.4628 2.90285e+41 -0 1 
1.851852 2.85765e+41 41.456 2.85765e+41 -0 1 
1.967593 2.81035e+41 41.4488 2.81035e+41 -0 1 
2.083333 2.76108e+41 41.4411 2.76108e+41 -0 1 
2.199074 2.70999e+41 41.433 2.70999e+41 -0 1 
2.314815 2.65719e+41 41.4244 2.65719e+41 -0 1 
2.430556 2.60283e+41 41.4154 2.60283e+41 -0 1 
2.546296 2.54704e+41 41.406 2.54704e+41 -0 1 
2.662037 2.48997e+41 41.3962 2.48997e+41 -0 1 
2.777778 2.43176e+41 41.3859 2.43176e+41 -0 1 
2.893519 2.37255e+41 41.3752 2.37255e+41 -0 1 
3.009259 2.31248e+41 41.3641 2.31248e+41 -0 1 
3.125000 2.25169e+41 41.3525 2.25169e+41 -0 1 
3.240741 2.19031e+41 41.3405 2.19031e+41 -0 1 
3.356481 2.12849e+41 41.3281 2.12849e+41 -0 1 
3.472222 2.06636e+41 41.3152 2.06636e+41 -0 1 
3.587963 2.00405e+41 41.3019 2.00405e+41 -0 1 
3.703704 1.94168e+41 41.2882 1.94168e+41 -0 1 
3.819444 1.87938e+41 41.274 1.87938e+41 -0 1 
3.935185 1.81727e+41 41.2594 1.81727e+41 -0 1 
4.050926 1.75547e+41 41.2444 1.75547e+41 -0 1 
4.166667 1.69408e+41 41.2289 1.69408e+41 -0 1 
4.282407 1.63321e+41 41.213 1.63321e+41 -0 1 
4.398148 1.57296e+41 41.1967 1.57296e+41 -0 1 
4.513889 1.51343e+41 41.18 1.51343e+41 -0 1 
4.629630 1.45471e+41 41.1628 1.45471e+41 -0 1 
4.745370 1.39687e+41 41.1452 1.39687e+41 -0 1 
4.861111 1.34e+41 41.1271 1.34e+41 -0 1 
4.976852 1.28416e+41 41.1086 1.28416e+41 -0 1 
5.092593 1.22943e+41 41.0897 1.22943e+41 -0 1 
5.208333 1.17586e+41 41.0704 1.17586e+41 -0 1 
5.324074 1.1235e+41 41.0506 1.1235e+41 -0 1 
5.439815 1.07241e+41 41.0304 1.07241e+41 -0 1 
